Código,Nome,Microregiao
5000203,Água Clara,Três Lagoas
5000252,Alcinópolis,Alto Taquari
5000609,Amambai,Dourados
5000708,Anastácio,Aquidauana
5000807,Anaurilândia,Nova Andradina
5000856,Angélica,Iguatemi
5000906,Antônio João,Dourados
5001003,Aparecida do Taboado,Paranaíba
5001102,Aquidauana,Aquidauana
5001243,Aral Moreira,Dourados
5001508,Bandeirantes,Campo Grande
5001904,Bataguassu,Nova Andradina
5002001,Batayporã,Nova Andradina
5002100,Bela Vista,Bodoquena
5002159,Bodoquena,Bodoquena
5002209,Bonito,Bodoquena
5002308,Brasilândia,Três Lagoas
5002407,Caarapó,Dourados
5002605,Camapuã,Alto Taquari
5002704,Campo Grande,Campo Grande
5002803,Caracol,Bodoquena
5002902,Cassilândia,Cassilândia
5002951,Chapadão do Sul,Cassilândia
5003108,Corguinho,Campo Grande
5003157,Coronel Sapucaia,Iguatemi
5003207,Corumbá,Baixo Pantanal
5003256,Costa Rica,Cassilândia
5003306,Coxim,Alto Taquari
5003454,Deodápolis,Iguatemi
5003488,Dois Irmãos do Buriti,Aquidauana
5003504,Douradina,Dourados
5003702,Dourados,Dourados
5003751,Eldorado,Iguatemi
5003801,Fátima do Sul,Dourados
5003900,Figueirão,Alto Taquari
5004007,Glória de Dourados,Iguatemi
5004106,Guia Lopes da Laguna,Bodoquena
5004304,Iguatemi,Iguatemi
5004403,Inocência,Paranaíba
5004502,Itaporã,Dourados
5004601,Itaquiraí,Iguatemi
5004700,Ivinhema,Iguatemi
5004809,Japorã,Iguatemi
5004908,Jaraguari,Campo Grande
5005004,Jardim,Bodoquena
5005103,Jateí,Iguatemi
5005152,Juti,Dourados
5005202,Ladário,Baixo Pantanal
5005251,Laguna Carapã,Dourados
5005400,Maracaju,Dourados
5005608,Miranda,Aquidauana
5005681,Mundo Novo,Iguatemi
5005707,Naviraí,Iguatemi
5005806,Nioaque,Bodoquena
5006002,Nova Alvorada do Sul,Dourados
5006200,Nova Andradina,Nova Andradina
5006259,Novo Horizonte do Sul,Iguatemi
5006275,Paraíso das Águas,Cassilândia
5006309,Paranaíba,Paranaíba
5006358,Paranhos,Iguatemi
5006408,Pedro Gomes,Alto Taquari
5006606,Ponta Porã,Dourados
5006903,Porto Murtinho,Baixo Pantanal
5007109,Ribas do Rio Pardo,Três Lagoas
5007208,Rio Brilhante,Dourados
5007307,Rio Negro,Campo Grande
5007406,Rio Verde de Mato Grosso,Alto Taquari
5007505,Rochedo,Campo Grande
5007554,Santa Rita do Pardo,Três Lagoas
5007695,São Gabriel do Oeste,Alto Taquari
5007703,Sete Quedas,Iguatemi
5007802,Selvíria,Paranaíba
5007901,Sidrolândia,Campo Grande
5007935,Sonora,Alto Taquari
5007950,Tacuru,Iguatemi
5007976,Taquarussu,Nova Andradina
5008008,Terenos,Campo Grande
5008305,Três Lagoas,Três Lagoas
5008404,Vicentina,Dourados
